bucket_owner,bucket,datetime,ip,requestor_id,request_id,operation,key,http_method_uri_proto,http_status,s3_error,bytes_sent,object_size,total_time,turn_around_time,referer,user_agent,cid,ec,ea,an,av,sr
cf77fe33107978c68ebf91e44d101ec99ec75c3cba670ebe4115141ca552f93d,rodeo-analytics.yhathq.com,18/Sep/2015:17:56:22 +0000,24.193.78.37,-,135C3BAADA7A6F5A,WEBSITE.GET.OBJECT,index.html,GET /?an=Rodeo&av=0.3.4&cid=FOO&ec=command&ea=python&el= HTTP/1.1,200,-,1,1,23,23,-,-,['FOO'],['command'],['python'],['Rodeo'],['0.3.4'],
cf77fe33107978c68ebf91e44d101ec99ec75c3cba670ebe4115141ca552f93d,rodeo-analytics.yhathq.com,18/Sep/2015:17:56:22 +0000,24.193.78.37,-,6053E89F253F4D6C,WEBSITE.GET.OBJECT,index.html,GET /?an=Rodeo&av=0.3.4&cid=FOO&ec=application&ea=editor&el= HTTP/1.1,200,-,1,1,29,28,-,-,['FOO'],['application'],['editor'],['Rodeo'],['0.3.4'],
cf77fe33107978c68ebf91e44d101ec99ec75c3cba670ebe4115141ca552f93d,rodeo-analytics.yhathq.com,18/Sep/2015:17:45:22 +0000,24.193.78.37,-,12A549E560DBACBF,WEBSITE.GET.OBJECT,index.html,GET /?an=Rodeo&av=0.3.4&cid=FOO&ec=application&ea=editor&el= HTTP/1.1,200,-,1,1,38,38,-,-,['FOO'],['application'],['editor'],['Rodeo'],['0.3.4'],
cf77fe33107978c68ebf91e44d101ec99ec75c3cba670ebe4115141ca552f93d,rodeo-analytics.yhathq.com,18/Sep/2015:17:43:13 +0000,24.193.78.37,-,0B962BCA612CA0F7,WEBSITE.GET.OBJECT,index.html,GET /?an=Rodeo&av=0.3.4&cid=FOO&ec=command&ea=python&el= HTTP/1.1,200,-,1,1,179,179,-,-,['FOO'],['command'],['python'],['Rodeo'],['0.3.4'],
cf77fe33107978c68ebf91e44d101ec99ec75c3cba670ebe4115141ca552f93d,rodeo-analytics.yhathq.com,18/Sep/2015:17:43:30 +0000,24.193.78.37,-,4296CBE78FF62612,WEBSITE.GET.OBJECT,index.html,GET /?an=Rodeo&av=0.3.4&cid=FOO&ec=application&ea=open&el= HTTP/1.1,200,-,1,1,41,40,-,-,['FOO'],['application'],['open'],['Rodeo'],['0.3.4'],
cf77fe33107978c68ebf91e44d101ec99ec75c3cba670ebe4115141ca552f93d,rodeo-analytics.yhathq.com,18/Sep/2015:17:53:04 +0000,24.193.78.37,-,1058FDC82B6E9753,WEBSITE.GET.OBJECT,index.html,GET /?an=Rodeo&av=0.3.4&cid=FOO&ec=shortcut&ea=Reload&el= HTTP/1.1,200,-,1,1,105,104,-,-,['FOO'],['shortcut'],['Reload'],['Rodeo'],['0.3.4'],
cf77fe33107978c68ebf91e44d101ec99ec75c3cba670ebe4115141ca552f93d,rodeo-analytics.yhathq.com,18/Sep/2015:17:53:04 +0000,24.193.78.37,-,A96107C4E8149C35,WEBSITE.GET.OBJECT,index.html,GET /?an=Rodeo&av=0.3.4&cid=FOO&ec=command&ea=python&el= HTTP/1.1,200,-,1,1,12,11,-,-,['FOO'],['command'],['python'],['Rodeo'],['0.3.4'],
cf77fe33107978c68ebf91e44d101ec99ec75c3cba670ebe4115141ca552f93d,rodeo-analytics.yhathq.com,18/Sep/2015:17:54:25 +0000,24.193.78.37,-,04B792A7BDA690E1,WEBSITE.GET.OBJECT,index.html,GET /?an=Rodeo&av=0.3.4&cid=FOO&ec=command&ea=error&el= HTTP/1.1,200,-,1,1,25,25,-,-,['FOO'],['command'],['error'],['Rodeo'],['0.3.4'],
cf77fe33107978c68ebf91e44d101ec99ec75c3cba670ebe4115141ca552f93d,rodeo-analytics.yhathq.com,18/Sep/2015:17:53:28 +0000,24.193.78.37,-,265DA58C9BDD029B,WEBSITE.GET.OBJECT,index.html,GET /?an=Rodeo&av=0.3.4&cid=FOO&ec=application&ea=open&el= HTTP/1.1,200,-,1,1,132,124,-,-,['FOO'],['application'],['open'],['Rodeo'],['0.3.4'],
cf77fe33107978c68ebf91e44d101ec99ec75c3cba670ebe4115141ca552f93d,rodeo-analytics.yhathq.com,18/Sep/2015:17:56:21 +0000,24.193.78.37,-,F73165DDD9529645,WEBSITE.GET.OBJECT,index.html,GET /?an=Rodeo&av=0.3.4&cid=FOO&ec=shortcut&ea=Reload&el= HTTP/1.1,200,-,1,1,28,28,-,-,['FOO'],['shortcut'],['Reload'],['Rodeo'],['0.3.4'],
